username,recency,frequency,monetary,cluster,umap_x,umap_y
erda.nanda,1630,7,570527.0,5,22.078354,5.2201786
erdiansyah4713,1562,2,172000.0,1,7.4694285,9.67318
erdiant25,1624,2,242565.0,1,11.200893,14.033124
erdihasyims,1649,2,173675.0,1,9.229332,15.176669
erdiikas,1521,3,184660.0,4,13.85215,6.1619368
erditaseptyana,1755,2,211340.0,1,11.699379,16.411266
erel25,468,2,104336.0,0,1.5160877,-7.198961
erem.store,1681,26,2046921.0,5,23.276323,5.655507
eren76,733,2,116510.0,0,4.5526867,-3.0455744
erenpeewee,1607,2,179510.0,1,7.887313,10.334899
erenyeager914,737,4,153249.0,2,15.859639,-7.0362506
erfanshop,863,46,12852000.0,2,19.099152,-5.948933
erfikaayu,1708,6,442746.0,5,21.60775,5.8605547
erfin31,393,2,103162.0,0,0.8809688,-7.3934674
erfkhff,748,2,105726.0,0,2.811579,-2.8992598
erfoldstore,1630,6,539791.0,5,21.863735,5.3407536
ergian.sa,1305,2,48254.0,1,-6.7261863,8.828829
erhyrin,1420,2,137992.0,1,4.871296,4.945939
eri19r,1539,2,138655.0,1,5.121088,8.453337
eriagm,1582,4,495400.0,5,19.681217,5.9857836
eriagustian8,1628,2,98171.0,1,2.0752008,15.383873
erian90,795,2,97047.0,0,1.1863451,-2.363842
eriana2502,1527,2,76220.0,1,-4.1258483,9.360528
eriawati219,1751,2,116490.0,1,4.961797,18.352308
ericarica802,220,3,111440.0,3,13.819701,-5.572808
ericewok,298,2,98408.0,0,-0.109518595,-7.149567
ericha_mira,554,2,49411.0,0,-5.398747,-1.6109679
ericho01,1385,2,129185.0,1,3.878959,3.865014
erick.adv,638,2,385447.0,0,10.228765,-5.4367023
erick_ginanjar,1407,2,92000.0,1,-1.9252439,5.4820232
erickizzul,1580,2,116500.0,1,3.4542077,10.128459
erickkechil,1776,2,87265.0,1,0.23184457,17.887575
erickkurniasandy,149,2,82910.0,0,-1.9868613,-6.009523
erickloma,244,2,201413.0,0,9.556201,-8.352755
erie2widyastutu21,1480,2,37545.0,1,-7.154157,9.323396
eriebeck4,1477,2,1754093.0,1,11.695044,10.789341
erierisdyani19,1604,2,66850.0,1,-6.263021,12.02986
eriex132377,794,4,172827.0,2,15.992102,-7.0201683
erihartanti540,245,2,1191740.0,0,9.913683,-5.474007
eriistiqomah,1677,2,75699.0,1,-1.4171042,16.575298
erik.yuliansyah86,912,2,135316.0,0,6.8250084,-1.5662961
erik_2810,1574,5,456000.0,5,21.331337,4.5095277
erik_septian123,1435,2,86212.0,1,-2.6439176,6.2841907
erika.mustika,1328,4,277197.0,5,18.205898,3.9239395
erika_reall,1694,4,594215.0,5,20.548782,7.048997
erikaayln,1733,3,535553.0,4,18.225471,11.658175
erikafashion0707,1645,2,185354.0,1,9.647346,14.886951
erikamaharani06_,1574,2,74033.0,1,-4.0620356,11.613541
erikamotor,1756,2,192487.0,1,11.009271,16.990915
erikans3012.,1491,2,163141.0,1,6.7944145,7.1466627
erikanurlidia,1634,5,304210.0,5,20.661068,4.96366
erikanurmaylani_,1660,2,109360.0,1,3.7056572,16.191309
erikaputriratu,1686,2,67710.0,1,-2.5770128,16.677893
erikasitumeang,1558,3,352010.0,4,16.333977,8.129745
erikbujangbandung,1334,2,124394.0,1,3.1722977,3.0030317
erikestrada16,1456,2,144200.0,1,5.6152205,5.900094
erikhudipamungkas,396,2,70632.0,0,-3.3741949,-4.4313335
erikjaelani19,1632,2,184054.0,1,9.461629,14.808929
eriknopriadi83,1380,2,79400.0,1,-4.339455,6.0801387
erikobayu,1538,2,140860.0,1,5.309691,8.397418
erikpurnama364,479,2,82253.0,0,-2.1030037,-5.4015746
eriksapulette,1298,19,2575948.0,5,23.60357,2.4411204
erilazis,1596,2,68000.0,1,-6.006205,12.218109
erina_wijaya,1392,6,328070.0,5,20.173138,2.8237846
erinatrijayanti,1753,2,192146.0,1,10.988986,16.948463
erinkrisliatin,1724,2,87936.0,1,0.3413015,17.444294
erinsaputri11,1707,2,86676.0,1,0.26470444,17.322603
erintifanikristin2e,1504,2,91350.0,1,-1.2073927,8.267579
eriscaayu2004,1602,4,174052.0,5,17.515324,5.5355973
eriskasaputri01011998,562,2,107040.0,0,1.7422858,-6.8941007
eristavanessa,398,8,742243.0,2,18.37883,-6.647557
eristia1311,1805,2,590856.0,1,12.352621,12.411546
eriwlndr,1733,2,66465.0,1,-2.640315,17.15322
erizaayulestarii,1578,2,96875.0,1,0.2687683,10.497461
erkal,1513,6,214735.0,5,19.87448,4.1274543
erkallll,1512,3,116220.0,4,12.122207,7.232797
erkalyc,1427,4,370000.0,5,18.859043,4.7884116
erkigusnawan,1695,2,95041.0,1,1.730638,16.999006
erlandestrian,1673,2,94860.0,1,1.6002352,16.481302
erlangga058,1585,2,78421.0,1,-3.0461552,11.0569315
erlanggaae117,218,2,191402.0,0,9.162109,-8.72326
erlanggapoetra,1558,2,104490.0,1,1.5669891,10.021403
erlanggaputra276,834,2,125580.0,0,5.6642747,-2.0596535
erlianacandra,683,3,158100.0,3,13.88123,-4.2969046
erlianaerliana1995,1449,2,245140.0,1,9.631507,7.6479154
erlianapambudi,591,2,492200.0,0,10.169763,-5.5404787
erliastiany19,294,3,137580.0,3,14.145798,-5.0983367
erlilestiana_24,684,2,187500.0,0,10.149881,-2.2197006
erlin4038,1550,8,877462.0,5,22.58976,4.2459884
erlin912,1539,3,474685.0,4,16.860722,8.392531
erlina123.,1565,2,99275.0,1,0.7274273,10.239136
erlina4896,1627,2,286599.0,1,11.616458,13.53277
erlina_30,799,2,86000.0,0,-0.49614543,-1.8602929
erlinaanjali,1744,6,851000.0,5,22.629738,6.185475
erlinaputrir488,1422,2,102250.0,1,0.051690646,5.358178
erlinasuryanisiregar,1594,4,294659.0,5,18.732306,5.8650336
erlinaw25,1793,2,185835.0,1,10.970563,17.611866
erlinbie24,1557,2,198022.0,1,8.601088,9.737797
erlinda.adisa12,1477,5,412307.0,5,20.937561,3.4635758
erlindalarasati,1642,2,78000.0,1,-1.1573262,16.039476
erlingga75,1646,2,81640.0,1,-0.52674985,16.244606
erlinsss,1686,2,145436.0,1,7.563056,16.508791
erlisada,1524,5,389163.0,5,20.869705,3.7286606
erlisadwia,1420,22,2029307.0,5,23.317299,2.9234796
erlisoutfit,1572,19,1941887.0,5,23.478035,4.470024
erlissagn,1734,2,65806.0,1,-2.6952302,17.165018
erlitakusumaw_,791,2,180200.0,0,9.682589,-1.8367463
erlitasariita,1492,2,89610.0,1,-1.7574774,7.811841
erlitawahyusaputri22,1715,3,165010.0,4,14.9851265,11.634069
erlsr123,291,2,97679.0,0,-0.17087084,-7.1404934
erlyersa15,1800,2,67831.0,1,-2.1810832,17.477507
erlyn8880,1527,2,142500.0,1,5.343638,8.232142
erma8562,1760,3,201490.0,4,15.712813,12.516283
ermajilika2002,1498,3,231777.0,4,14.936203,6.349137
ermaliapulungan,573,2,90544.0,0,-0.8922369,-5.974071
ermapramuda,1437,2,243640.0,1,9.649976,7.497529
ermaw_1515,745,2,247580.0,0,10.556285,-3.8585215
ermawati1989,369,2,168795.0,0,7.6190042,-8.6618595
ermawativitadiana,276,2,110779.0,0,2.0332618,-7.902978
ermayenti84,832,2,166008.0,0,8.942282,-1.5315932
ermyna_ermi,177,2,77920.0,0,-2.8766055,-5.177971
erna.efriani,696,2,82261.0,0,-1.2172796,-1.9461597
erna0376,1482,3,155347.0,4,12.882661,6.0359244
erna19945,1571,2,82635.0,1,-2.43109,10.198391
erna29128,26,4,569517.0,2,17.164677,-7.074312
erna721120,1379,2,119000.0,1,2.5533805,4.0878143
erna_ars,1546,2,254000.0,1,9.901413,9.866457
erna_sara,1796,2,175027.0,1,10.649113,17.797207
erna_sari038,1725,2,129585.0,1,6.2755885,17.801847
ernaazka_,530,2,92584.0,0,-0.59984016,-6.148799
ernacanita,1303,3,229000.0,4,14.746062,4.6762767
ernahartawati79,1661,4,308125.0,5,19.367962,7.099769
ernahernwati,1351,4,145460.0,5,17.157337,3.8594463
ernakalisa,1401,5,266200.0,5,19.791773,2.9839404
ernalasmana,1562,2,190550.0,1,8.238539,9.814813
ernamiss123,1472,2,173040.0,1,7.303429,6.7224145
ernanda1011,1556,5,183340.0,5,19.75679,4.294846
ernantobudis,353,2,94560.0,0,-0.467025,-6.7814765
ernaoktafia14,1681,14,1922700.0,5,23.265165,5.660468
ernapermatasari453,1335,2,177500.0,1,7.7580066,4.043799
ernaporogoi72,1465,2,143985.0,1,5.558758,5.970771
ernasahfitri_12,1767,2,68165.0,1,-2.3253193,17.398174
ernasape,1316,19,1653600.0,5,23.278326,2.3048406
ernasariii23,1501,2,225570.0,1,9.217422,8.15065
ernasri_aprl,1489,2,155000.0,1,6.2382107,7.1177382
ernasusantyy,1586,2,223000.0,1,9.246151,10.062958
ernasyantik,1660,4,312099.0,5,19.437328,7.082649
ernawty011,1803,2,147062.0,1,8.145835,18.703228
ernaziel,352,3,311670.0,3,15.863175,-3.0256972
ernestolee,747,2,218320.0,0,10.641554,-3.150427
ernharande,1583,2,161648.0,1,6.9061346,10.061656
erni.filmy,1308,9,988147.0,5,22.472357,2.0756054
erni123822,701,2,90608.0,0,0.2549654,-2.396949
erni15sulistiowati,201,2,91661.0,0,-0.9446021,-6.716921
erni_377yuliastuti,1404,2,70658.0,1,-5.5058217,7.458522
erni_hendrayani12,1574,2,162400.0,1,6.978709,9.98223
erni_ra04,797,2,114810.0,0,4.428699,-2.4041276
ernia1503,1754,5,1290995.0,5,22.877968,6.1009483
erniatun,1728,4,219527.0,5,18.631084,6.8117642
ernibernadethaa,731,4,186558.0,2,16.0854,-6.9895773
ernicahya1807,1340,2,125030.0,1,3.2140985,3.076773
